PERMNO,date,TICKER,COMNAM,PERMCO,CUSIP,PRC,RET
11850,20061130,XOM,EXXON MOBIL CORP,20678,30231G10,76.81000,0.010259
11850,20061201,XOM,EXXON MOBIL CORP,20678,30231G10,77.20000,0.005077
11850,20061204,XOM,EXXON MOBIL CORP,20678,30231G10,77.77000,0.007383
11850,20061205,XOM,EXXON MOBIL CORP,20678,30231G10,78.06000,0.003729
11850,20061206,XOM,EXXON MOBIL CORP,20678,30231G10,76.31000,-0.022419
11850,20061207,XOM,EXXON MOBIL CORP,20678,30231G10,75.71000,-0.007863
11850,20061208,XOM,EXXON MOBIL CORP,20678,30231G10,75.50000,-0.002774
11850,20061211,XOM,EXXON MOBIL CORP,20678,30231G10,75.36000,-0.001854
11850,20061212,XOM,EXXON MOBIL CORP,20678,30231G10,76.25000,0.011810
11850,20061213,XOM,EXXON MOBIL CORP,20678,30231G10,77.36000,0.014557
11850,20061214,XOM,EXXON MOBIL CORP,20678,30231G10,78.73000,0.017709
11850,20061215,XOM,EXXON MOBIL CORP,20678,30231G10,77.30000,-0.018163
11850,20061218,XOM,EXXON MOBIL CORP,20678,30231G10,75.51000,-0.023157
11850,20061219,XOM,EXXON MOBIL CORP,20678,30231G10,76.99000,0.019600
11850,20061220,XOM,EXXON MOBIL CORP,20678,30231G10,76.08000,-0.011820
11850,20061221,XOM,EXXON MOBIL CORP,20678,30231G10,75.87000,-0.002760
11850,20061222,XOM,EXXON MOBIL CORP,20678,30231G10,75.41000,-0.006063
11850,20061226,XOM,EXXON MOBIL CORP,20678,30231G10,76.05000,0.008487
11850,20061227,XOM,EXXON MOBIL CORP,20678,30231G10,76.96000,0.011966
11850,20061228,XOM,EXXON MOBIL CORP,20678,30231G10,77.33000,0.004808
11850,20061229,XOM,EXXON MOBIL CORP,20678,30231G10,76.63000,-0.009052
11850,20070103,XOM,EXXON MOBIL CORP,20678,30231G10,74.11000,-0.032885
11850,20070104,XOM,EXXON MOBIL CORP,20678,30231G10,72.72000,-0.018756
11850,20070105,XOM,EXXON MOBIL CORP,20678,30231G10,73.24000,0.007151
11850,20070108,XOM,EXXON MOBIL CORP,20678,30231G10,72.65000,-0.008056
11850,20070109,XOM,EXXON MOBIL CORP,20678,30231G10,72.09000,-0.007708
11850,20070110,XOM,EXXON MOBIL CORP,20678,30231G10,70.99000,-0.015259
11850,20070111,XOM,EXXON MOBIL CORP,20678,30231G10,70.98000,-0.000141
11850,20070112,XOM,EXXON MOBIL CORP,20678,30231G10,72.66000,0.023669
11850,20070116,XOM,EXXON MOBIL CORP,20678,30231G10,71.63000,-0.014176
11850,20070117,XOM,EXXON MOBIL CORP,20678,30231G10,72.46000,0.011587
11850,20070118,XOM,EXXON MOBIL CORP,20678,30231G10,71.96000,-0.006900
11850,20070119,XOM,EXXON MOBIL CORP,20678,30231G10,73.53000,0.021818
11850,20070122,XOM,EXXON MOBIL CORP,20678,30231G10,72.90000,-0.008568
11850,20070123,XOM,EXXON MOBIL CORP,20678,30231G10,74.49000,0.021811
11850,20070124,XOM,EXXON MOBIL CORP,20678,30231G10,74.90000,0.005504
11850,20070125,XOM,EXXON MOBIL CORP,20678,30231G10,73.52000,-0.018425
11850,20070126,XOM,EXXON MOBIL CORP,20678,30231G10,73.61000,0.001224
11850,20070129,XOM,EXXON MOBIL CORP,20678,30231G10,73.20000,-0.005570
11850,20070130,XOM,EXXON MOBIL CORP,20678,30231G10,74.39000,0.016257
11850,20070131,XOM,EXXON MOBIL CORP,20678,30231G10,74.10000,-0.003898
11850,20070201,XOM,EXXON MOBIL CORP,20678,30231G10,75.08000,0.013225
11850,20070202,XOM,EXXON MOBIL CORP,20678,30231G10,75.54000,0.006127
11850,20070205,XOM,EXXON MOBIL CORP,20678,30231G10,75.67000,0.001721
11850,20070206,XOM,EXXON MOBIL CORP,20678,30231G10,75.46000,-0.002775
